kode,kabupaten,tahun,persen_miskin,garis_kemiskinan,jumlah_miskin,tpt,nama_clean
3376,Kota Tegal,2008,11.28,244380,26.8,13.32,KOTA TEGAL
3301,Kabupaten Cilacap,2009,19.88,191167,318.8,11.45,CILACAP
3302,Kabupaten Banyumas,2009,21.52,208583,319.8,8.05,BANYUMAS
3303,Kabupaten Purbalingga,2009,24.97,194529,205.0,4.66,PURBALINGGA
3304,Kabupaten Banjarnegara,2009,21.36,160345,184.0,5.07,BANJARNEGARA
3305,Kabupaten Kebumen,2009,25.37,195589,309.6,8.12,KEBUMEN
3306,Kabupaten Purworejo,2009,17.02,194292,121.4,4.94,PURWOREJO
3307,Kabupaten Wonosobo,2009,25.91,187932,194.0,3.62,WONOSOBO
3308,Kabupaten Magelang,2009,15.19,169158,176.5,4.95,MAGELANG
3309,Kabupaten Boyolali,2009,15.96,195538,148.2,5.51,BOYOLALI
3310,Kabupaten Klaten,2009,19.68,241608,220.2,6.36,KLATEN
3311,Kabupaten Sukoharjo,2009,11.51,211928,94.4,8.28,SUKOHARJO
3312,Kabupaten Wonogiri,2009,19.08,182083,184.9,5.03,WONOGIRI
3313,Kabupaten Karanganyar,2009,14.73,202500,118.8,8.26,KARANGANYAR
3314,Kabupaten Sragen,2009,19.7,192530,167.3,5.78,SRAGEN
3315,Kabupaten Grobogan,2009,18.68,205468,247.5,6.07,GROBOGAN
3316,Kabupaten Blora,2009,17.7,174951,146.0,6.99,BLORA
3317,Kabupaten Rembang,2009,25.86,200216,147.2,5.64,REMBANG
3318,Kabupaten Pati,2009,15.92,224390,184.1,7.68,PATI
3319,Kabupaten Kudus,2009,10.8,218411,84.9,7.36,KUDUS
3320,Kabupaten Jepara,2009,9.6,206549,104.7,4.4,JEPARA
3321,Kabupaten Demak,2009,19.7,210260,202.2,5.72,DEMAK
3322,Kabupaten Semarang,2009,10.66,189612,96.7,7.88,SEMARANG
3323,Kabupaten Temanggung,2009,15.05,164343,105.8,4.24,TEMANGGUNG
3324,Kabupaten Kendal,2009,16.02,199020,152.4,5.64,KENDAL
3325,Kabupaten Batang,2009,16.61,155558,112.2,7.11,BATANG
3326,Kabupaten Pekalongan,2009,17.93,210168,151.6,4.18,PEKALONGAN
3327,Kabupaten Pemalang,2009,22.17,198295,303.7,12.26,PEMALANG
3328,Kabupaten Tegal,2009,13.98,187048,195.5,9.24,TEGAL
3329,Kabupaten Brebes,2009,24.39,219119,432.4,9.42,BREBES
3371,Kota Magelang,2009,10.11,237967,13.7,14.95,KOTA MAGELANG
3372,Kota Surakarta,2009,14.99,286158,78.0,10.44,SURAKARTA
3373,Kota Salatiga,2009,7.82,221701,14.1,10.95,SALATIGA
3374,Kota Semarang,2009,4.84,226271,73.1,10.66,KOTA SEMARANG
3375,Kota Pekalongan,2009,8.56,231562,23.3,8.61,KOTA PEKALONGAN
3376,Kota Tegal,2009,9.88,248173,23.4,15.74,KOTA TEGAL
3301,Kabupaten Cilacap,2010,18.11,206714,297.2,9.75,CILACAP
3302,Kabupaten Banyumas,2010,20.2,225546,314.1,7.37,BANYUMAS
3303,Kabupaten Purbalingga,2010,24.58,210349,208.9,3.82,PURBALINGGA
3304,Kabupaten Banjarnegara,2010,19.17,173385,166.7,3.1,BANJARNEGARA
3305,Kabupaten Kebumen,2010,22.7,211495,263.0,8.02,KEBUMEN
3306,Kabupaten Purworejo,2010,16.61,211400,115.3,3.4,PURWOREJO
3307,Kabupaten Wonosobo,2010,23.15,203216,174.7,4.04,WONOSOBO
3308,Kabupaten Magelang,2010,14.14,184053,167.2,2.97,MAGELANG
3309,Kabupaten Boyolali,2010,13.72,209495,127.8,3.9,BOYOLALI
3310,Kabupaten Klaten,2010,17.47,258854,197.4,4.5,KLATEN
3311,Kabupaten Sukoharjo,2010,10.94,227055,90.2,7.4,SUKOHARJO
3312,Kabupaten Wonogiri,2010,15.67,195080,145.5,4.7,WONOGIRI
3313,Kabupaten Karanganyar,2010,13.98,216954,113.8,6.62,KARANGANYAR
3314,Kabupaten Sragen,2010,17.49,206273,149.7,4.09,SRAGEN
3315,Kabupaten Grobogan,2010,17.86,223560,233.7,4.6,GROBOGAN
3316,Kabupaten Blora,2010,16.27,190356,134.9,5.49,BLORA
3317,Kabupaten Rembang,2010,23.4,217846,138.5,4.89,REMBANG
3318,Kabupaten Pati,2010,14.48,244149,172.4,6.22,PATI
3319,Kabupaten Kudus,2010,9.01,237643,70.2,6.22,KUDUS
3320,Kabupaten Jepara,2010,10.18,224737,111.8,4.56,JEPARA
3321,Kabupaten Demak,2010,18.76,228774,198.8,5.69,DEMAK
3322,Kabupaten Semarang,2010,10.5,206308,97.9,6.25,SEMARANG
3323,Kabupaten Temanggung,2010,13.46,178814,95.3,3.6,TEMANGGUNG
3324,Kabupaten Kendal,2010,14.47,216545,130.4,5.57,KENDAL
3325,Kabupaten Batang,2010,14.67,169256,103.6,6.48,BATANG
3326,Kabupaten Pekalongan,2010,16.29,228674,136.6,4.04,PEKALONGAN
3327,Kabupaten Pemalang,2010,19.96,216365,251.8,11.45,PEMALANG
3328,Kabupaten Tegal,2010,13.11,204093,182.5,7.48,TEGAL
3329,Kabupaten Brebes,2010,23.01,239086,398.7,8.21,BREBES
3371,Kota Magelang,2010,10.51,258921,12.4,13.28,KOTA MAGELANG
3372,Kota Surakarta,2010,13.96,306584,69.8,8.73,SURAKARTA
3373,Kota Salatiga,2010,8.28,241223,14.2,10.22,SALATIGA
3374,Kota Semarang,2010,5.12,246195,79.7,8.98,KOTA SEMARANG
3375,Kota Pekalongan,2010,9.36,251952,26.4,7.0,KOTA PEKALONGAN
3376,Kota Tegal,2010,10.62,270788,25.7,14.22,KOTA TEGAL
3301,Kabupaten Cilacap,2011,17.15,224530,282.0,10.82,CILACAP
3302,Kabupaten Banyumas,2011,21.11,249807,328.5,6.61,BANYUMAS
3303,Kabupaten Purbalingga,2011,23.06,230461,196.0,5.1,PURBALINGGA
3304,Kabupaten Banjarnegara,2011,20.38,192303,177.3,4.97,BANJARNEGARA
3305,Kabupaten Kebumen,2011,24.06,234005,279.4,4.73,KEBUMEN
3306,Kabupaten Purworejo,2011,17.51,235459,121.9,5.3,PURWOREJO
3307,Kabupaten Wonosobo,2011,24.21,226827,183.0,4.92,WONOSOBO
3308,Kabupaten Magelang,2011,15.18,204430,179.6,6.83,MAGELANG
3309,Kabupaten Boyolali,2011,14.97,223755,139.5,5.81,BOYOLALI
3310,Kabupaten Klaten,2011,17.95,275002,203.1,7.63,KLATEN
3311,Kabupaten Sukoharjo,2011,11.13,240711,92.0,6.27,SUKOHARJO
3312,Kabupaten Wonogiri,2011,15.74,207496,146.4,3.82,WONOGIRI
3313,Kabupaten Karanganyar,2011,15.29,236093,124.5,5.78,KARANGANYAR
3314,Kabupaten Sragen,2011,17.95,222267,154.3,8.43,SRAGEN
3315,Kabupaten Grobogan,2011,17.38,242212,227.8,5.33,GROBOGAN
3316,Kabupaten Blora,2011,16.24,206016,134.9,6.9,BLORA
3317,Kabupaten Rembang,2011,23.71,240859,140.4,7.22,REMBANG
3318,Kabupaten Pati,2011,14.69,264372,175.1,11.17,PATI
3319,Kabupaten Kudus,2011,9.45,256745,73.6,8.32,KUDUS
3320,Kabupaten Jepara,2011,10.32,242963,113.3,5.48,JEPARA
3321,Kabupaten Demak,2011,18.21,254441,192.5,5.03,DEMAK
3322,Kabupaten Semarang,2011,10.3,227471,96.0,6.16,SEMARANG
3323,Kabupaten Temanggung,2011,13.38,198888,94.9,3.54,TEMANGGUNG
